"id","nome","cnpj","label","Resumo","Tipo","Local","Responsável","Atividade Principal","Natureza Jurídica","Capital Social","Abertura","Sócios","Atividades secundárias"
397,"Cjrl Administracao De Bens Ltda","16741280000129","Cjrl",,"Empresa","Av Automovel Clube 1912 - Jardim Jose Bonifacio - 25.565-172
Sao Joao De Meriti -  Incorporação De Empreendimentos Imobiliários",,"Holdings de instituições não-financeiras
41.10-7-00 - Incorporaчуo de empreendimentos imobiliсrios ","Sociedade Empresária Limitada"," ",22/08/12,"Claudio Jose Dos Reis Lavouras, Isa Braganca Da Custodia Lavouras","Compra e venda de imóveis próprios"
398,"Cardiomex Servicos Medicos Ltda","18006518000106","Cardiomex Servicos Medicos ",,"Empresa","Av Das Americas 505 - Barra Da Tijuca - 22.631-000
Rio De Janeiro - Rj","Isa Braganca Da Custodia Lavouras","Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos","Sociedade Empresária Limitada","3000.00",25/04/13,"Isa Braganca Da Custodia Lavouras, Claudio Jose Dos Reis Lavouras",
399,"Vilarouco Empreendimentos E Participacoes Ltda","04151327000115","Vilarouco",,"Empresa","Av Coronel Phidias Tavora 400 - Pavuna - 21.535-510
Rio De Janeiro - Rj",,"Holdings de instituições não-financeiras","Sociedade Empresária Limitada"," ",10/11/00,"Manuel Joao Pereira, Maria De Fatima Dantas De Farias Pereira",
400,"Isangela Flores E Bazar Ltda - Me","29518107000108","Isangela Flores",,"Empresa","R Dr Alfredo Barcelos 764 - Olaria - 21.060-692
Rio De Janeiro - Rj","Manuel Joao Pereira","Lojas de departamentos ou magazines","Sociedade Empresária Limitada",,22/06/78,"Manuel Joao Pereira, Manoel De Assis Castilho",
401,"Leunam Cambio E Turismo Ltda - Me","02947412000169","Sandar Cambio e Turismo",,"Empresa","Av Das Americas 3120 - Barra Da Tijuca - 22.640-102
Rio De Janeiro - Rj",,"Agências de viagens","Sociedade Empresária Limitada"," ",21/01/99,"Antonio Alfredo De Serpa Corte Real, Maria Jose Sandar Pereira Pinto","Serviços de reservas e outros serviços de turismo não especificados anteriormente"
402,"H2s Empreendimentos E Participacoes Ltda","14203062000105","H2S",,"Empresa",,,"Incorporação de empreendimentos imobiliários","Sociedade Empresária Limitada"," ",29/08/11,,
403,"Jhl Consultoria Ltda. - Epp","06874569000162","Jhl Consultoria . - ",,"Empresa","R Braulio Eugenio Muller 125 - Barra Da Tijuca - 22.793-090
Rio De Janeiro - Rj",,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica
68.10-2-02 - Aluguel de imѓveis prѓprios ","Sociedade Empresária Limitada"," ",19/02/04,"Jose Antonio Diago Dias, Henrique Silva Dias, Leonardo Diago Dias, Henrique Diago Dias, Maria Del Carmen Diago Dias",
404,"P. D. Comercio De Combustiveis Ltda","08375738000145","P. D. Comercio de Combustiveis ",,"Empresa","Av Prof Oscar Pereira 2527 - Gloria - 91.750-000
Porto Alegre - Rs",,"Comércio varejista de combustíveis para veículos automotores","Sociedade Empresária Limitada"," ",10/10/06,"Patricia Silva Dias, Henrique Silva Dias",
405,"Acl Queiroz Ltda - Me","04787007000156","Acl Queiroz  ",,"Empresa","R Maestro Henrique Vogeler 201 - Braz De Pina - 21.235-680
Rio De Janeiro - Rj",,"Casas de festas e eventos","Sociedade Empresária Limitada"," ",01/11/01,"Luiza Loureiro Queiroz Ferreira, Carla Regina Pinheiro Queiroz Ferreira, Alice De Loureiro Queiroz Ferreira",
406,"Concorde Turfe E Loterias Ltda. - Me","42425660000164","Concorde Turfe e Loterias . ",,"Empresa","Av Teixeira De Castro 427 - Ramos - 21.040-115
Rio De Janeiro - Rj","Sheyla De Oliveira Paiva","Casas lotéricas","Sociedade Empresária Limitada","10000.00",17/06/75,"Sheyla De Oliveira Paiva, Fernando Antunes De Paiva",
407,"Li Sabor Bar E Lanchonete Ltda - Me","08888953000140","Il Sabor",,"Empresa","Av Armando Lombardi 1000 - Barra Da Tijuca - 22.621-000
Rio De Janeiro -  Comércio Varejista De Produtos Alimentícios Em Geral Ou Especializado Em Produtos Alimentícios Não Especificados Anteriormente",,"Lanchonetes, casas de chá, de sucos e similares","Sociedade Empresária Limitada"," ",30/05/07,"Rosangela Antunes De Paiva Almeida, Roberta De Paiva Almeida","Comércio varejista de bebidas"
408,"Cantina Escolar Da Freguesia Ltda.","13245546000154","Cantina Escolar da Freguesia .",,"Empresa","Av Geremario Dantas 1400 - Freguesia (jacarepagua) - 22.760-401
Rio De Janeiro - Rj","Roberta De Paiva Almeida","Cantinas - serviços de alimentação privativos","Sociedade Empresária Limitada","10000.00",03/02/11,"Roberta De Paiva Almeida, Rosangela Antunes De Paiva Almeida",
409,"Tirs 9841 Comercio E Servicos De Informatica Ltda - Me","00269524000182","R & S Teleinformatica",,"Empresa","R Liberia 40 - Cascadura - 21.310-290
Rio De Janeiro - Rj",,"Suporte técnico, manutenção e outros serviços em tecnologia da informação","Sociedade Empresária Limitada"," ",25/10/94,"Ronaldo Inacio Dos Santos Lima, Renato Stor",
410,"Guarulhos Transportes S.A.","00599353000185","Guarulhos Transportes S.A.",,"Empresa",,,,," ",,,
412,"Mg7 Empreendimentos Imobiliarios Ltda","18138414000147","Mg7",,"Empresa",,,"Incorporação de empreendimentos imobiliários",," ",14/05/13,,
413,"Sampaio Participacoes E Empreendimentos Imobiliarios Ltda","21091110000186","Sampaio",,"Empresa",,,"Incorporação de empreendimentos imobiliários","Sociedade Empresária Limitada"," ",22/09/14,,
414,"Viacao Sampaio Ltda","33542531000165","Viacao Sampaio ",,"Empresa","R Ceara 145 - Pca Da Bandeira - 20.270-160
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual","Sociedade Empresária Limitada"," ",26/09/66,"Orlando Martini, Vera Lucia Lobo Sampaio, Jose Marcio Lobo Sampaio, Silvia Barata De Boms, Maria Da Gloria Barata Rothier, Leticia Pineschi Kitagawa, Marina Sampaio Pineschi, Solange Sampaio Fontes, Ana Luiza De Paiva Sampaio, Leonardo Augusto Sampaio Fontes, Juliana Sampaio Fontes, Humberto Eustaquio De Aguiar, Uniao Transporte Interestadual De Luxo S/a - Util, Viacao Sampaio Ltda","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional; Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal; Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana; Outros transportes rodoviários de passageiros não especificados anteriormente; Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente; Terminais rodoviários e ferroviários; Outras sociedades de participação, exceto holdings"
415,"La Servicos De Informatica Ltda - Me","04696848000158","La Servicos de Informatica  ",,"Empresa","St Crs 509 Bloco C 38 - Asa Sul - 70.360-530
Brasilia - Df",,"Reparação e manutenção de computadores e de equipamentos periféricos","Sociedade Empresária Limitada"," ",31/08/01,"Acacio De Almeida, Leandro Cascao De Almeida",
416,"Viva Bem Consultoria Empresarial Ltda - Me","06193184000130","Viva Bem",,"Empresa","Av Camoes 447 - Penha Circular - 21.011-510
Rio De Janeiro - Rj",,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","Sociedade Empresária Limitada"," ",05/04/04,"Anderson Tavares Da Silva, Mario Pereira Do Outeiro, Mauro Lucio Lopes","Atividades de apoio à educação, exceto caixas escolares"
417,"Agenciamento Brasil 2005 Turistico Ltda - Me","07322762000153","Brasil 2005",,"Empresa","R Ministro Pedro Franklin 553 - Anchieta - 21.655-530
Rio De Janeiro - Rj",,"Agências de viagens","Sociedade Empresária Limitada"," ",05/04/05,"Nelson Ferreira De Carvalho, Mario Pereira Do Outeiro","Serviços de reservas e outros serviços de turismo não especificados anteriormente"
418,"Mpjf Administracao De Bens, Participacoes E Empreendimentos Ltda","23229679000190","Mpjf ",,"Empresa",,,"Aluguel de imóveis próprios",," ",04/09/15,,
419,"Trans Unica Transportes De Derivados De Petroleo Ltda - Me","32569857000113","Trans Unica",,"Empresa","R Padre Siqueira 419 - Centro - 25.685-220
Petropolis - Rj","Elisabeth Kreischer","Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","Sociedade Empresária Limitada",,14/06/89,"Elisabeth Kreischer, Marco Aurelio Kreischer Tavares Da Silva, Ana Claudia Kreischer Rabello, Fausto Pinto De Carvalho, Paulo Pereira, Aloisio Renato Kreischer, Mario Pereira Do Outeiro, Maria Olga Jorge Da Costa Oliveira, Giseli Costa Oliveira, Roseli Costa Oliveira",
420,"Anchieta Empreendimentos E Participacoes Ltda","24073127000107","Anchieta",,"Empresa",,,"Outras sociedades de participação, exceto holdings, Aluguel de imóveis próprios",," ",28/01/16,,
421,"Locadora De Veiculos Citta America Ltda","01522321000119","Citta America ",,"Empresa","R Joao De Castro 1275 - Centro - 26.540-390
Nilopolis - Rj",,"Serviço de transporte de passageiros - locação de automóveis com motorista","Sociedade Empresária Limitada"," ",01/11/96,"Nelson Ferreira De Carvalho, Maria De Fatima Silva Reis De Carvalho","Locação de automóveis sem condutor"
422,"Drogaria Pague Menos De Jacarepagua Ltda - Me","02350887000173","Drogaria Pague Menos",,"Empresa","Est De Jacarepagua 7930 - Jacarepagua - 22.753-044
Rio De Janeiro - Rj",,"Comércio varejista de artigos médicos e ortopédicos","Sociedade Empresária Limitada"," ",23/01/98,"Nelson Ferreira De Carvalho, Antonio Celso Bighi",
423,"Drogaria Central Nicaragua Ltda - Me","02402490000188","Drogarias Unifarma",,"Empresa","R Nicaragua 250 - Penha - 21.020-050
Rio De Janeiro - Rj",,"Comércio varejista de artigos médicos e ortopédicos","Sociedade Empresária Limitada"," ",12/02/98,,
424," Naf Assessoria Administrativa E Financeira Ltda","11439934000140","Naf Assessoria",,"Empresa","R Joao De Castro 1275 - Nilopolis - 26.540-390
Nilopolis -  Comércio Varejista Especializado De Eletrodomésticos E Equipamentos De Áudio E Vídeo",,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","Sociedade Empresária Limitada"," ",09/12/09,"Flavio Paulo De Oliveira Rodrigues, Nelson Ferreira De Carvalho","Comércio varejista especializado de equipamentos e suprimentos de informática"
425,"Keter Chochma Administracao De Bens Ltda","11647102000110","Keter Chochma",,"Empresa","Est Galeao 1401 - Jardim Guanabara - 21.931-383
Rio De Janeiro - Rj",,"Aluguel de imóveis próprios","Sociedade Empresária Limitada"," ",05/03/10,"Nelson Ferreira De Carvalho, Maria De Fatima Silva Reis De Carvalho",
426,"A. Salvatore Comercio De Vestuarios Ltda","21474798000183","Puket",,"Empresa","Av Das Americas 7777 - Barra Da Tijuca - 22.793-081
Rio De Janeiro - Rj","Angelo Salvatore Cavaliere","Comércio varejista de artigos do vestuário e acessórios","Sociedade Empresária Limitada","90000.00",10/11/14,"Angelo Salvatore Cavaliere, Rosilene Pereira Dias",
427,"Af Estacionamento Ltda - Me","07860707000117","Af Estacionamento  ",,"Empresa","R Aurelio Figueiredo 78 - Campo Grande - 23.052-000
Rio De Janeiro - Rj",,"Estacionamento de veículos","Sociedade Simples Limitada"," ",07/02/06,"Halex Carneiro Tiago, Manuel Veiga Tiago",
428,"M Veiga Administracao E Participacao Ltda","17024726000167","M Veiga",,"Empresa",,,"Aluguel de imóveis próprios",," ",04/10/12,,
429,"Associacao Nacional Das Empresas De Transportes Urbanos","03604923000140","NTU",,"Empresa","R Saus Quadra 1 Bloco J Ed Cnt Ala A 9 Andar 9 - Asa Sul - 70.070-944
Brasilia - Df",,"Atividades de organizações associativas patronais e empresariais","Associação Privada"," ",18/08/87,"Eurico Divon Galhardi",
430,"Instituto Dedallus De Planejamento E Gestao Social Das Artes E Culturas","04692557000191","Instituto Dedallus de Planejamento e Gestao Social Das Artes e Culturas",,"Empresa","R Do Acre 47 - Centro - 20.081-000
Rio De Janeiro - Rj",,"Atividades de associações de defesa de direitos sociais","Associação Privada"," ",30/08/01,"Eurico Divon Galhardi","Atividades associativas não especificadas anteriormente"
431,"Emuseu-producoes Culturais Ltda - Me","07715280000163","Emuseu-Producoes Culturais  ",,"Empresa","R Do Acre 47 - Centro - 20.081-000
Rio De Janeiro - Rj",,"Artes cênicas, espetáculos e atividades complementares não especificadas anteriormente","Sociedade Simples Limitada"," ",08/11/05,"Eurico Divon Galhardi, Erika Da Rocha Galhardi Carrilho Valente",
432,"Rosamares Transportes Ltda","33072687000120","Rosamares Transportes ",,"Empresa","R Luis Camara 150 - Ramos - 21.031-170
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional","Sociedade Empresária Limitada"," ",23/05/68,"Elimar Machado De Vasconcelos, Erasmo Machado De Vasconcelos, Brisa Onibus S.A, Arthur Barata Pastorelli, Patrick Lameira Dupre","Serviço de transporte de passageiros - locação de automóveis com motorista; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal; Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional; Organização de excursões em veículos rodoviários próprios, municipal; Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal; Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
433,"Log Service Ltda","04850257000193","Log Service ",,"Empresa","R Jurandir Martins Filho (bosque Flamboyant) 35 - Lavadouro De Areia - 12.041-065
Taubate - Sp",,"Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","Sociedade Empresária Limitada"," ",16/01/02,"Ademir Domingos Bottura, Luiz Gonzaga De Sousa Junior, Higor Luiz Fernandes Sousa","Envasamento e empacotamento sob contrato; Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional; Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal; Holdings de instituições não-financeiras; Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador; Comércio varejista de outros produtos não especificados anteriormente; Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica; Carga e descarga; Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas; Manutenção e reparação de tratores, exceto agrícolas"
434,"Tursan Transportes De Passageiros Ltda - Me","09059238000167","Tursan Serviços",,"Empresa","R Batista Sansoni 501 - Quiririm - 12.043-500
Taubate - Sp",,"Serviço de transporte de passageiros - locação de automóveis com motorista","Sociedade Empresária Limitada"," ",11/09/07,"Higor Luiz Fernandes Sousa, Luiz Gonzaga De Sousa Junior",
435,"Campione - Comercio De Veiculos Ltda - Epp","09270149000165","Campione Veiculos",,"Empresa","R Batista Sansoni 501 - Quiririm - 12.043-500
Taubate -  Representantes Comerciais E Agentes Do Comércio De Veículos Automotores",,"Comércio a varejo de automóveis, camionetas e utilitários novos","Sociedade Empresária Limitada"," ",23/10/07,"Higor Luiz Fernandes Sousa, Luiz Gonzaga De Sousa Junior, Tursan Turismo Santo Andre Ltda","Comércio por atacado de ônibus e microônibus novos e usados"
436," Campione - Negocios Imobiliarios Ltda","11390273000106","Campione Imoveis",,"Empresa","R Batista Sansoni 501 - Quiririm - 12.043-500
Taubate - Sp",,"Compra e venda de imóveis próprios","Sociedade Empresária Limitada"," ",02/12/09,"Higor Luiz Fernandes Sousa, Luiz Gonzaga De Sousa Junior",
437,"Spe B2x Administracao Logistica Ltda.","13551847000106","Spe B2X",,"Empresa","Av Nove De Julho 437 - Centro - 12.020-200
Taubate - Sp","Paulo Henrique Pinese Vieira","Incorporação de empreendimentos imobiliários","Sociedade Empresária Limitada","5100000.00",08/04/11,"Paulo Henrique Pinese Vieira, Pinese Vieira Investimentos Ltda, Hox's Taruma Gestao E Participacoes Societarias Ltda, Campione - Negocios Imobiliarios Ltda, Jrcl - Empreendimentos Imobiliarios E Participacoes Ltda, Higor Luiz Fernandes Sousa, Carmen Roman Gaudioso","Gestão e administração da propriedade imobiliária"
438,"Spe 8 Mz Negocios Imobiliarios Ltda","18502217000165","Spe 8 Mz",,"Empresa",,,"Compra e venda de imѓveis prѓprios ","Sociedade Empresária Limitada"," ",17/07/13,,
439,"Tursan Turismo Santo Andre Ltda","57512691000120","Tursan",,"Empresa","R Batista Sansoni 501 - Quiririm - 12.043-500
Taubate - Sp","Luiz Gonzaga De Sousa Junior","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional","Sociedade Empresária Limitada","3110000.00",13/12/71,"Luiz Gonzaga De Sousa Junior, Higor Luiz Fernandes Sousa","Transporte escolar"
440,"Bgi Administradora De Recursos De Terceiros Ltda.","14938974000125","Bgi Administradora",,"Empresa",,,"Atividades de administração de fundos por contrato ou comissão ",," ",24/01/12,,
441,"Distribuidora De Bebidas Vales Do Rio Coura Ltda"," 03910770000160","Distribuidora de Bebidas Vales do Rio Coura ",,"Empresa","R Antonio Braganca 203 - Santa Catarina - 24.415-560
Sao Goncalo - Rj",,"Comércio atacadista de cerveja, chope e refrigerante","Sociedade Empresária Limitada"," ",30/06/00,"Jose De Castro Barbosa, Carlos Henrique Ferreira Teles, Jose Antonio Fernandes","Comércio atacadista de cosméticos e produtos de perfumaria; Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar; Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo; Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico; Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico; Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional; Organização logística do transporte de carga"
442,"Jocar De Belford Roxo Auto Pecas Ltda - Me","04827810000177","Kar-Shop",,"Empresa","Av Joaquim Da Costa Lima 2316 - Santa Amelia - 26.165-380
Belford Roxo - Rj",,"Comércio a varejo de peças e acessórios novos para veículos automotores","Sociedade Empresária Limitada"," ",17/12/01,"Jose Antonio Fernandes, Paulo Cesar Fernandes",
443,"Joao Filipe Antunes De Carvalho",,"JOAO FILIPE ANTUNES DE CARVALHO",,"Pessoa Física",,,,,,,,
444,"Roberto Antunes Da Silva",,"ROBERTO ANTUNES DA SILVA",,"Pessoa Física",,,,,,,,
445,"Romafi Empreendimentos E Participacoes S/a","10503917000162","Romafi Empreendimentos e Participacoes S/A",,"Empresa","R Dom Gerardo 64 - Centro - 20.090-030
Rio De Janeiro - Rj",,"Holdings de instituições não-financeiras","Sociedade Anônima Fechada",2415000,24/10/08,,
446,"Horse Import Export E Comercio De Produtos Equestres Ltda","09482970000145","Equistore",,"Empresa","Est Do Engenho D Agua 1349 - Anil - 22.765-240
Rio De Janeiro -  Comércio Varejista De Animais Vivos E De Artigos E Alimentos Para Animais De Estimação",,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança","Sociedade Empresária Limitada","50000.00",31/03/08,"Raquel Lauria De Azevedo, Joao Filipe Antunes De Carvalho","Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente"
447,"Futuro Eventos, Promocoes E Participacoes Ltda","04160100000136","Futuro Publicidade",,"Empresa","Av Projetada B 840 - Barra Da Tijuca - 22.631-470
Rio De Janeiro - Rj",,"Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","Sociedade Empresária Limitada",,20/10/00,"Joao Filipe Antunes De Carvalho, Jorge Manuel Pereira Dias, Shelldon Aarestrup Marin","atividades de design não especificadas anteriormente; Agenciamento de profissionais para atividades esportivas, culturais e artísticas; Outras atividades profissionais, científicas e técnicas não especificadas anteriormente; Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente; Serviços de gravação de carimbos, exceto confecção; Salas de acesso à internet"
448,"Aconjem Assessoria Empresarial Ltda","05764556000178","Aconjem",,"Empresa",,,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica

 ",,,05/06/03,,
449,"Hemisferio Transportes Ltda","04180070000120","Hemisferio Transp",,"Empresa","R Jacinto Monteiro 45 - Parque Jacimar - 23.897-560
Seropedica - Rj",,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal","Sociedade Empresária Limitada","30000.00",13/11/00,"Roberto Antunes Da Silva, Simone Da Silva De Carvalho",
450,"Dakota Empreendimentos E Participacoes S/s Ltda - Me",,"Dakota",,"Empresa",,,,,,,,
451,"Vinicius Ferreira Colonese",,"Vinicius Colonese",,"Pessoa Física",,,,,,,,
452,"Joao Paulo Cortez Correa Lage",,"João P Cortez",,"Pessoa Física",,,,,,,,
453,"Antonio Goncalves Nunes Neto",,"Antônio Gonçalves",,"Pessoa Física",,,,,,,,
454,"Jbf1 Servicos Eireli",,"JBF1",,"Empresa",,,,,,,,
455,"Amanda Pinheiro Antunes Dos Reis Gomes",,"Amanda P Antunes",,"Pessoa Física",,,,,,,,
456,"Pablo Pinheiro Antunes Dos Reis Gomes",,"Pablo P Antunes",,"Pessoa Física",,,,,,,,
457,"Real Expresso Ltda","25634551000138","Real Expresso",,"Empresa",,,,,,,,
458,"Viacao Pendotiba Sa",,"Pendotiba",,"Empresa",,,,,,,,
459,"Bittig Comercio E Servicos De Automoveis Sa",,"Bittig Comercio e Servicos de Automoveis Sa",,"Empresa",,,,,,,,
461,"Associacao Esportiva Guanabara",,"Associacao Esportiva Guanabara",,"Empresa",,,,,,,,
462,"Consorcio Rio De Transportes",,"Consorcio Rio de Transportes",,"Empresa",,,,,,,,
463,"Expresso Guanabara S A",,"Expresso Guanabara S A",,"Empresa",,,,,,,,
464,"Gh Guanabara Holding Participacoes Ltda",,"Gh Guanabara Holding Participacoes Ltda",,"Empresa",,,,,,,,
465,"Guanabara Diesel Sa Comercio E Representacoes",,"Guanabara Diesel Sa Comercio e Representacoes",,"Empresa",,,,,,,,
466,"Sedan S A Servicos E De Automoveis Nacionais",,"Sedan S A Servicos e de Automoveis Nacionais",,"Empresa",,,,,,,,
467,"Uniao Transporte Interestadual De Luxo S/a - Util",,"Util",,"Empresa",,,,,,,,
468,"Leblon Rio Empreendimentos Imobiliarios S/a",,"Leblon Rio Empreendimentos Imobiliarios S/A",,"Empresa",,,,,,,,
469,"Otima Veiculos S A",,"Otima Veiculos S A",,"Empresa",,,,,,,,
470,"Verdun Empreendimentos Imobiliarios S/a",,"Verdun Empreendimentos Imobiliarios S/A",,"Empresa",,,,,,,,
471,"Viacao Nossa Senhora Da Penha Ltda",,"Viacao Nossa Senhora da Penha Ltda",,"Empresa",,,,,,,,
472,"Viacao Nossa Senhora Do Amparo Ltda",,"Viacao Nossa Senhora do Amparo Ltda",,"Empresa",,,,,,,,
473,"Concessionaria Do Vlt Carioca S.A.",,"Concessionaria do Vlt Carioca S.A.",,"Empresa",,,,,,,,
474,"Viacao Saens Pena Ltda.","17051740000150","Viacao Saens Pena Ltda.",,"Empresa",,,,,,,,
475,"Consorcio Guanabara De Transportes","23542573000142","Consorcio Guanabara de Transportes",,"Empresa",,,,,,,,
