"id","nome","cnpj","label","Resumo","Tipo","Local","Responsável","Atividade Principal","Natureza Jurídica","Capital Social","Abertura","Sócios","Atividades secundárias"
359,"Transportes Santo Antonio Ltda","29331758000194","Transportes Santo Antonio ",,"Empresa","Av Pelotas 1001 - Jardim Gramacho - 25.050-501
Duque De Caxias - Rj","Isaac De Castro Barbosa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Empresária Limitada",,01/09/66,"Isaac De Castro Barbosa, Antonio Barbosa De Castro, Serafim Pedreira Goncalves, Isaac De Castro Barbosa Filho, Isabella De Castro Barbosa, Jeronimo Antonio Da Cunha Fernandes",
360,"Rapido Sao Pedro Ltda.","11263470000164","Rapido Sao Pedro .",,"Empresa","Av Presidente Kennedy Qd 6 - Centro - 25.010-002
Duque De Caxias - Rj","Jose De Castro Barbosa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Empresária Limitada","1000000.00",27/10/09,"Jose De Castro Barbosa, Jose Alberto Barbosa, Carlos Alberto Guerreiro De Sousa",
361,"Cbs-participacoes E Empreendimentos Ltda.","28105336000138","Cbs-Participacoes e Empreendimentos .",,"Empresa",,,"Holdings de instituições não-financeiras",," ",14/09/82,,
362,"Santo Antonio Transportes Ltda","30075428000164","Santo Antonio Transportes ",,"Empresa","Est Washington Luis 89 - Pendotiba - 24.315-370
Niteroi - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",20/09/66,"Jose De Castro Barbosa, Jose Alberto Barbosa, Carlos Alberto Guerreiro De Sousa, Ana Paula Barbosa De Sousa, Maria Eugenia Monteiro Barbosa, Luiz Carlos Matos Da Silva",
363,"Viacao Fortaleza Ltda","30075501000106","Viacao Fortaleza ",,"Empresa","R Rev Armando Ferreira 11 - Pendotiba - 24.310-090
Niteroi - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",20/09/66,"Jose De Castro Barbosa, Santo Antonio Transportes Ltda, Jose Alberto Barbosa, Carlos Alberto Guerreiro De Sousa",
364,"Expresso Garcia Ltda","31733686000153","Expresso Garcia ",,"Empresa","Est Washington Luis 89 - Pendotiba - 24.315-375
Niteroi - Rj","Jose De Castro Barbosa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Empresária Limitada",,03/05/71,"Jose De Castro Barbosa, Maria Eugenia Monteiro Barbosa, Jose Alberto Barbosa, Carlos Alberto Guerreiro De Sousa, Ana Paula Barbosa De Sousa",
365,"Viacao Vera Cruz S A","33654484000141","Viacao Vera Cruz S A",,"Empresa","R Juparana 50 - Centro - 25.020-295
Duque De Caxias - Rj","Jose De Castro Barbosa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Anônima Fechada",,29/01/71,"Jose De Castro Barbosa, Jose Alberto Barbosa, Carlos Alberto Guerreiro De Sousa, Maria Eugenia Monteiro Barbosa",
366,"Empreendimentos E Participacoes Penha Ltda","31896046000164","Empreendimentos Penha ",,"Empresa","Av Bras De Pina 148 - Penha - 21.070-031
Rio De Janeiro - Rj",,"Holdings de instituições não-financeiras","Sociedade Empresária Limitada"," ",29/12/87,"Jose De Castro Barbosa, Isaac De Castro Barbosa, Isaac De Castro Barbosa Filho, Isabella De Castro Barbosa, Jose Alberto Barbosa, Ana Paula Barbosa De Sousa, Jose Antonio Fernandes, Elisabete De Castro Fernandes Teles, Carlos Henrique Ferreira Teles, Patricia Faria De Castro Teixeira, Simone Faria De Castro, Edeltraut Agnes Schneider Fuchshuber, Muximba Incorporacoes E Participacoes Ltda, Jose Arthur Vasconcelos Peixoto",
367,"Posto De Gasolina 6 De Maio Ltda - Me","08963963000100","Posto de Gasolina 6 de Maio  ",,"Empresa","Av Dr Manuel Teles 474 - Centro - 25.010-090
Duque De Caxias - Rj",,"Comércio varejista de combustíveis para veículos automotores","Sociedade Empresária Limitada"," ",25/06/07,"Jose De Castro Barbosa, Isaac De Castro Barbosa, Antonio Da Silva Resende, Antonio Pedro Dos Santos Resende, Antonio Barbosa De Castro, Jose Antonio Fernandes, Elisabete De Castro Fernandes Teles","Comércio varejista de mercadorias em lojas de conveniência"
368,"Posto De Gasolina Sul America Ltda","33331919000117","Posto de Gasolina Sul America ",,"Empresa","Av Pastor Martin Luther King Jr. 4466 - Tomas Coelho - 21.220-300
Rio De Janeiro -  Comércio Varejista De Produtos Alimentícios Em Geral Ou Especializado Em Produtos Alimentícios Não Especificados Anteriormente",,"Comércio varejista de combustíveis para veículos automotores","Sociedade Empresária Limitada"," ",19/12/72,"Jose Antonio Fernandes, Elisabete De Castro Fernandes Teles, Carlos Henrique Ferreira Teles","Comércio a varejo de peças e acessórios novos para veículos automotores"
369,"Serrano Transportes E Turismo Ltda - Me","01669072000199","Serrano Transportes e Turismo  ",,"Empresa","Est Do Engenho D'agua 755 - Anil - 22.765-240
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",21/02/97,"Joao Filipe Antunes De Carvalho, Joao Da Silva Carvalho, Mauro Pires Ribeiro, Claudio Pires Ribeiro, Armando Pires Ribeiro","Outras sociedades de participação, exceto holdings; Serviço de transporte de passageiros - locação de automóveis com motorista"
370,"Santa Maria Turismo Ltda - Me","01804617000122","Santa Maria Turismo  ",,"Empresa","Etr Coronel Pedro Correia 140 - Jacarepagua - 22.775-090
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",22/01/97,"Ilda Duarte Pereira, Maria De Lourdes Carrilho Valente, Antonio Jose Gomes Rodrigues, Paulo Antonio Carrilho Valente, Sonia Cristina Carrilho Valente Peres Fernandes, Claudia Cristina Pereira Valente Cramer Ribeiro, Armindo Lopes Valente, Jose Vieira Leite, Laerte Pereira Valente",
371," Atalaia Transportes E Turismo Ltda - Me","02500447000155"," Atalaia Transportes e Turismo  ",,"Empresa",,,,," ",,,
372,"Sm Estacionamento Ltda - Me","03967883000100","Sm Estacionamento  ",,"Empresa","Est Rodrigues Caldas 29 - Taquara - 22.713-372
Rio De Janeiro - Rj",,"Estacionamento de veículos","Sociedade Empresária Limitada"," ",24/07/00,"Armindo Lopes Valente, Jaime Da Silva Valente, Jose Vieira Leite, Antonio Jose Gomes Rodrigues",
373,"J Valente Empreendimentos Imobiliarios Ltda - Me","27868728000196","J Valente Empreendimentos Imobiliarios  ",,"Empresa","Est Coronel Pedro Correia 140 - Jacarepagua - 22.775-090
Rio De Janeiro - Rj",,"Incorporação de empreendimentos imobiliários","Sociedade Empresária Limitada"," ",12/03/82,"Jose Vieira Leite, Antonio Jose Gomes Rodrigues, Maria De Lourdes Carrilho Valente, Paulo Antonio Carrilho Valente, Sonia Cristina Carrilho Valente Peres Fernandes, Ilda Duarte Pereira, Claudia Cristina Pereira Valente Cramer Ribeiro, Armindo Lopes Valente, Jaime Da Silva Valente, Laerte Pereira Valente",
374," Associacao Comercial E Industrial Da Taquara E Adjacencias","04047901000190","ACITA",,"Empresa","Av Nelson Cardoso 596 - Jacarepagua - 22.730-000
Rio De Janeiro - Rj",,"Atividades de associações de defesa de direitos sociais","Associação Privada"," ",06/09/00,"Paulo Antonio Carrilho Valente","Atividades associativas não especificadas anteriormente"
375,"Tra Estacionamento Ltda - Me","09420939000180","Tra Estacionamento  ",,"Empresa","Av Das Americas S/n - Barra Da Tijuca - 22.631-004
Rio De Janeiro - Rj",,"Estacionamento de veículos","Sociedade Simples Limitada"," ",05/03/08,"Andrea Graciene Lopez Ramos Valente, Maria De Lourdes Carrilho Valente",
376,"Capazseg Consultoria E Corretagem De Seguros Ltda - Me","22551831000194","Capazseg Consultoria e Corretagem de Seguros  ",,"Empresa",,,,," ",,,
377,"Centro Educacional O Golfinho Ltda - Me","30668727000102","Centro Educacional O Golfinho  ",,"Empresa","R Luis Vahia Monteiro 150 - Jardim Guanabara - 21.931-360
Rio De Janeiro - Rj","Anabela Afonso Rua Branco","Ensino fundamental","Sociedade Empresária Limitada",,12/08/80,"Anabela Afonso Rua Branco, Claudia Cristina Pereira Valente Cramer Ribeiro, Sara Gomes Afonso Rua","Educação infantil - creche"
378,"Valdarioza Comercio E Distribuidora De Bebidas Em Geral Ltda","14368778000162","Valdarioza Comercio e Distribuidora de Bebidas Em Geral ",,"Empresa","R Angelina Figueira 7 A 10 - Parque Valdairosa - 26.311-170
Queimados - Rj",,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","Sociedade Empresária Limitada"," ",04/04/11,"Valmir Fernandes Do Amaral, Silvio Luis De Lima","Comércio varejista de doces, balas, bombons e semelhantes; Comércio varejista de carnes - açougues; Peixaria; Comércio varejista de hortifrutigranjeiros; Comércio atacadista de leite e laticínios; Comércio atacadista de água mineral; Comércio atacadista de cerveja, chope e refrigerante; Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada; Comércio atacadista de bebidas não especificadas anteriormente; Comércio atacadista de produtos alimentícios em geral"
379,"Gardel Turismo Ltda","28726669000184","Gardel Turismo ",,"Empresa","Est Do Lazareto 1003 - Ponte Preta - 26.310-000
Queimados - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",05/09/73,"Expresso Nossa Senhora Da Gloria Ltda, Valmir Fernandes Do Amaral",
380,"Viacao Ponte Coberta Ltda","29655537000171","Viacao Ponte Coberta ",,"Empresa","R Cosmorama 500 - Edson Passos - 26.582-020
Mesquita - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana","Sociedade Empresária Limitada"," ",16/11/76,"Jal Empreendimentos E Participacoes Ltda, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Valmir Fernandes Do Amaral, Jose Carlos Reis Lavouras",
381,"Expresso Nossa Senhora Da Gloria Ltda","30774038000182","Expresso Nossa Senhora da Gloria ",,"Empresa","R Ataide Pimenta De Moraes 211 - Centro - 26.210-190
Nova Iguacu - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",06/06/72,"Jal Empreendimentos E Participacoes Ltda, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Valmir Fernandes Do Amaral, Jose Carlos Reis Lavouras",
382,"Miriam Minas Rio Automoveis E Maquinas S A","33050816000189","Miriam Minas Rio Automoveis e Maquinas S A",,"Empresa","Av Brasil 7600 - Ramos - 21.030-001
Rio De Janeiro -  Serviços De Lanternagem Ou Funilaria E Pintura De Veículos Automotores",,"Comércio por atacado de caminhões novos e usados","Sociedade Anônima Fechada"," ",12/08/69,"Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras, Jose Carlos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Valmir Fernandes Do Amaral","Serviços de manutenção e reparação mecânica de veículos automotores"
383,"Jal Empreendimentos E Participacoes Ltda","01149435000165","Jal Empreendimentos e Participacoes ",,"Empresa","Av Automovel Clube 990 - Centro - 25.515-126
Sao Joao De Meriti - Rj",,"Holdings de instituições não-financeiras","Sociedade Empresária Limitada"," ",17/04/96,"Empresa De Transportes Flores Ltda, Jose Carlos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras",
384,"Technoplann Corretora De Seguros Ltda.","05109398000112","Technoplann Corretora de Seguros .",,"Empresa","Av Automvel Clube 1912 - Centro - 25.515-126
Sao Joao De Meriti - Rj",,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente","Sociedade Empresária Limitada"," ",12/03/02,"Dirceu Da Silva Pereira Filho, Sergio Luiz Dos Reis Lavouras, Jal Empreendimentos E Participacoes Ltda",
